,Date,Open,High,Low,Close,Adj Close,Volume
0,2012-04-30,206.71000700000002,207.96000700000002,206.320007,207.080002,171.139999,2773200
1,2012-05-01,207.179993,208.929993,206.71000700000002,208.0,171.90036,2715900
2,2012-05-02,206.970001,208.270004,206.91000400000001,208.059998,171.94988999999998,2360300
3,2012-05-03,208.270004,208.919998,206.550003,207.240005,171.272232,2826600
4,2012-05-04,206.470001,207.110001,204.399994,204.990005,169.41275,4023600
5,2012-05-07,203.96000700000002,204.770004,202.899994,203.75,168.387939,3373400
6,2012-05-08,202.440002,203.059998,199.720001,201.479996,167.209473,3881500
7,2012-05-09,199.990005,203.0,199.059998,201.229996,167.001999,3742500
8,2012-05-10,201.0,203.25,200.020004,200.600006,166.47918700000002,3830500
9,2012-05-11,199.96000700000002,202.119995,199.949997,201.169998,166.952209,2391500
10,2012-05-14,199.919998,200.71000700000002,198.559998,199.440002,165.516434,3029200
11,2012-05-15,199.440002,201.470001,198.759995,199.03999299999998,165.184525,2987400
12,2012-05-16,199.419998,201.350006,198.179993,199.729996,165.757156,5001000
13,2012-05-17,199.669998,200.78999299999998,197.639999,197.889999,164.230118,5626300
14,2012-05-18,198.779999,198.779999,195.16000400000001,195.880005,162.562012,5737100
15,2012-05-21,195.979996,197.929993,194.630005,197.759995,164.122223,3831700
16,2012-05-22,198.03999299999998,198.259995,196.059998,196.820007,163.34208700000002,3567100
17,2012-05-23,195.529999,196.490005,193.199997,196.119995,162.7612,4100000
18,2012-05-24,195.990005,196.279999,194.0,196.08999599999999,162.736267,3569300
19,2012-05-25,195.110001,196.0,194.0,194.300003,161.250793,2901900
20,2012-05-29,195.220001,198.080002,195.220001,196.46000700000002,163.04332,3618500
21,2012-05-30,194.800003,195.470001,193.770004,194.529999,161.44163500000002,3602500
22,2012-05-31,194.100006,194.929993,192.0,192.899994,160.088852,9287500
23,2012-06-01,190.119995,191.720001,188.600006,189.080002,156.91863999999998,5206400
24,2012-06-04,188.33999599999999,189.380005,187.0,188.53999299999998,156.47048999999998,4624500
25,2012-06-05,187.919998,189.850006,187.559998,189.199997,157.018219,3556500
26,2012-06-06,190.779999,194.0,190.020004,193.990005,160.993484,3641300
27,2012-06-07,195.279999,195.830002,193.940002,194.440002,161.366974,3701100
28,2012-06-08,193.71000700000002,195.139999,192.699997,195.139999,161.947891,2479200
29,2012-06-11,196.600006,196.699997,192.369995,192.509995,159.765182,3273300
30,2012-06-12,192.139999,194.669998,192.139999,194.550003,161.45825200000002,3023700
31,2012-06-13,194.360001,195.190002,192.350006,193.100006,160.254883,3247700
32,2012-06-14,193.0,195.830002,192.740005,195.100006,161.914658,3585000
33,2012-06-15,196.080002,199.270004,195.399994,199.100006,165.234268,6389000
34,2012-06-18,197.570007,199.639999,197.169998,198.28999299999998,164.562073,3378900
35,2012-06-19,198.830002,199.990005,198.800003,198.929993,165.093231,3297600
36,2012-06-20,198.699997,199.740005,197.5,198.779999,164.968735,3378200
37,2012-06-21,199.070007,199.449997,193.190002,193.389999,160.495529,4316600
38,2012-06-22,193.869995,194.880005,193.220001,193.699997,160.752823,8823000
39,2012-06-25,192.479996,193.389999,191.679993,192.860001,160.055679,3211600
40,2012-06-26,193.53999299999998,193.679993,190.75,191.949997,159.30043,3435900
41,2012-06-27,192.139999,193.699997,190.899994,193.0,160.17186,2762700
42,2012-06-28,191.229996,192.080002,188.899994,191.399994,158.844025,3967300
43,2012-06-29,194.550003,195.809998,192.41000400000001,195.580002,162.313049,5259600
44,2012-07-02,196.360001,197.199997,194.850006,195.830002,162.520493,2827000
45,2012-07-03,195.46000700000002,196.33999599999999,194.91000400000001,195.929993,162.60351599999998,1450400
46,2012-07-05,194.880005,196.850006,193.630005,195.28999299999998,162.072357,2690200
47,2012-07-06,193.919998,193.940002,189.740005,191.41000400000001,158.852295,4952900
48,2012-07-09,190.759995,191.0,188.050003,189.669998,157.40831,3988100
49,2012-07-10,190.300003,191.139999,185.600006,186.259995,154.57830800000002,4690300
50,2012-07-11,186.220001,187.360001,183.509995,185.25,153.740128,5456100
51,2012-07-12,184.25,184.389999,181.850006,183.08999599999999,151.94747900000002,4931300
52,2012-07-13,183.46000700000002,186.330002,183.029999,186.009995,154.370804,3933000
53,2012-07-16,185.580002,186.100006,184.580002,184.78999299999998,153.358322,3144400
54,2012-07-17,185.729996,186.28999299999998,183.199997,183.649994,152.41223100000002,5158600
55,2012-07-18,184.149994,188.58999599999999,183.550003,188.25,156.22981299999998,8019500
56,2012-07-19,193.399994,196.850006,192.970001,195.33999599999999,162.113861,10395400
